eval_d,mkt_rf,smb,hml,rmw,wml,call_rate,kospi,mom,beme,gpa,usdkrw
2005-07-20,-0.000738659,-0.004690748,0.003493772,-0.002089314,0.002160959,8.96E-05,-0.0010042,-0.02458932,-0.00873767,-0.01816154,0.00259675
2005-07-21,0.000272883,0.002720194,0.010047261,-0.005715486,-0.001380595,8.79E-05,0.00023269,-0.00859742,0.0048151,-0.00390074,-0.00671463
2005-07-22,-0.001893629,-0.005407912,0.006892589,-0.009983364,0.005926174,9.01E-05,-0.00040013,-0.00142004,-0.00487477,0.00302682,-0.01448576
2005-07-25,0.015664997,0.001639338,0.007712504,-0.008637368,-0.003993787,0.000269589,0.01441046,0.01175693,0.02545997,0.01460301,0.00161685
2005-07-26,-0.000231887,0.011543083,0.003492191,-3.25E-05,0.003985088,8.96E-05,0.00082592,0.00032193,0.00712978,-0.00032289,0.00469598
2005-07-27,0.001333595,0.012696652,-0.007788237,0.005091063,-0.001663552,8.96E-05,0.00222813,0.00126719,0.01638709,0.00020507,0.004041
2005-07-28,0.011634716,-0.002467021,-0.011237933,-0.001694666,0.005822725,8.99E-05,0.01069504,0.00545752,0.00786614,0.00414149,-0.00315197
2005-07-29,0.006512462,0.000521611,-0.006062647,0.001510384,-0.002802394,8.96E-05,0.00594721,0.00041366,-0.01641202,-0.00390117,-0.00111874
2005-08-01,0.004375943,-0.000123661,-0.001108493,-0.001180051,0.009657744,0.000268767,0.00422032,-0.009209,0.00600985,-0.00851729,-0.0001948
2005-08-02,0.002272178,-0.006352417,-0.001579013,0.000632015,1.03E-05,8.96E-05,0.00255381,0.00154068,-0.00220963,-0.00134463,-0.0058451
2005-08-03,-0.00071329,-0.01414573,0.009493686,0.004033117,0.005734136,8.96E-05,-0.00153732,-0.00884422,-0.01053883,-0.00719845,-0.00293974
2005-08-04,-0.004874278,-0.025404271,0.01641081,-0.003463873,-0.005285886,8.96E-05,-0.00512036,-0.00743306,-0.00499961,-0.00815123,-0.00589681
2005-08-05,-0.019737323,-0.006633266,9.16E-05,0.001836672,-0.00364027,8.85E-05,-0.01982202,-0.01411781,-0.02423021,-0.01528507,0.00242215
2005-08-08,-0.001581853,-0.000430826,0.004757946,0.002969719,-0.000706381,0.000267945,-0.00249688,-0.0046094,0.00122642,-0.00600461,0.00197248
2005-08-09,0.011441755,0.006100353,7.48E-05,-0.005706705,0.008838357,8.93E-05,0.01208312,0.01689113,0.02582242,0.00978971,-0.00241154
2005-08-10,0.004062398,0.007506873,-0.004926675,0.002433278,0.004275693,8.93E-05,0.00462824,0.00493324,0.00417122,0.00319117,0.00197336
2005-08-11,0.018481112,-0.005903419,-0.009840706,0.001064726,0.003157259,8.93E-05,0.01711529,0.02054357,0.01250404,0.01174259,0
2005-08-12,0.004658121,-0.003642085,0.003606231,0.001894286,0.005486106,8.90E-05,0.00573961,0.01844603,0.01485675,0.00789725,-0.00098474
2005-08-16,-0.012003311,0.00325922,-0.000250537,0.001893521,0.00158939,0.000355068,-0.01175877,-0.00251218,-0.02054326,-0.00864647,0.00187284
2005-08-17,-0.00306867,0.001866466,-0.007383431,0.007995674,-0.001933982,8.88E-05,-0.00329475,0.00647093,-0.00654525,0.00085966,0.00162328
2005-08-18,-0.018925217,0.008034042,0.006947758,0.000717828,-0.000267907,8.88E-05,-0.01845048,-0.00654263,-0.01494072,-0.00223833,0.0043712
2005-08-19,-0.003488342,0.022533618,-0.029870563,-0.001710912,-0.011070559,8.79E-05,-0.00258989,0.00374395,0.00560267,-0.00346208,0.00298279
2005-08-22,0.026355594,-0.009971877,0.002191418,-0.001470035,0.001202622,0.000262192,0.02458986,0.02029838,0.02528156,0.02292149,0.0028766
2005-08-23,-0.000989044,0.005174172,0.00099387,-0.002538125,0.001679794,8.88E-05,-0.00075223,0.00339211,0.00499805,0.00062214,0
2005-08-24,-0.020883111,0.016757983,-0.007869492,0.002492477,-0.000456408,8.88E-05,-0.0193845,-0.0055977,-0.01217711,-0.0146694,-0.00097229
2005-08-25,0.003308982,0.000133789,-0.001790837,-0.002589745,-0.001800547,8.88E-05,0.00281482,-0.00169717,0.00527307,0.00386978,-0.00097324
2005-08-26,-0.00989449,0.00768296,0.000328814,0.001237394,0.005990951,8.85E-05,-0.00978775,0.00778763,-0.00796217,-0.00632038,0.00224053
2005-08-29,-0.021034906,-0.015751212,0.010365714,-0.000861727,-0.013439709,0.000266301,-0.02152685,-0.02714416,-0.03396287,-0.02783204,0.00165251
2005-08-30,0.009080204,-0.00614076,0.002416758,0.002460921,0.005578693,8.88E-05,0.0088886,0.00211753,0.00813855,0.00199039,0.00359049
2005-08-31,0.010078251,0.000751896,-0.006288832,4.26E-05,0.003181561,8.90E-05,0.00999431,0.0059884,0.0071598,0.00645451,0.00609167
2005-09-01,0.021611294,0.003278606,-0.004819453,0.000294667,-0.000201352,8.90E-05,0.02126776,0.01487509,0.02526503,0.01334609,-0.00768861
2005-09-02,0.008085346,0.002594741,-0.005705851,0.001541713,0.003049967,8.90E-05,0.00855048,0.01174838,0.01451134,0.00433986,-0.00581114
2005-09-05,-0.001752243,0.012567164,-0.006532988,0.004439919,0.00062295,0.000267123,-0.00119194,0.01141137,0.0015047,0.00524848,-0.0037019
2005-09-06,0.007894566,-0.003198207,0.002707418,-0.00174133,-0.003372136,8.82E-05,0.0073127,0.00371851,0.00501047,0.00673983,0.00176005
2005-09-07,0.018781553,-0.00803407,0.003320083,-0.000708853,0.003540708,8.77E-05,0.01811785,0.01577038,0.01639608,0.01604944,0.00195217
2005-09-08,0.003020391,-0.003492118,-0.001573929,0.001805512,0.000588158,8.88E-05,0.00198602,-0.00846329,0.00292567,0.00161462,0.00097418
2005-09-09,0.006177931,-0.002578388,0.009315163,-0.003957441,-0.001200895,8.85E-05,0.00632171,0.00134766,0.00402798,-9.97E-05,-0.00194647
2005-09-12,0.005201449,-9.77E-06,-0.00350502,0.004954945,0.000214777,0.000265479,0.0050846,-0.01085354,-4.23E-05,0.00736828,0.00097513
2005-09-13,0.000976976,-0.008878368,0.005275899,0.012500164,-0.004682114,8.88E-05,-0.00020719,-0.01533845,-0.01547483,-0.01046902,-0.00073064
2005-09-14,0.01148885,-0.013278065,0.001980278,0.002562063,8.79E-05,8.88E-05,0.01092288,0.00604979,0.02065683,0.00567176,-0.00024372
2005-09-15,-0.000352147,-0.003728207,0.001107171,0.004554997,0.003779491,8.90E-05,-0.00100788,-0.00205748,0.00393261,-0.0019656,0
2005-09-16,0.003595686,0.005493553,0.006977097,-0.002287122,0.009645531,8.88E-05,0.0038817,0.02802711,0.0147148,0.01408733,0.00487567
2005-09-20,0.01393942,0.00097024,0.005994984,-0.000764267,0.006507602,0.000355068,0.01430847,0.01804659,0.03736583,0.00938086,0.0009704
2005-09-21,0.004114281,0.000215262,-0.006119704,0.008918622,0.006388533,8.77E-05,0.00481976,0.01838419,-0.00593252,0.00894897,-0.00193892
2005-09-22,0.002293653,-0.000755173,5.91E-05,0.001129977,-0.000102192,8.82E-05,0.00275765,0.02628819,0.00975122,0.00908202,-0.00179699
2005-09-23,-0.021410729,0.011996809,0.001391693,-0.002279677,-0.000327857,8.90E-05,-0.0200755,-0.00964065,-0.01637988,-0.01064104,0.00277332
2005-09-26,0.0261594,-0.012525954,0.007377039,-0.002107574,0.006714701,0.000267123,0.02596353,0.03180827,0.02198362,0.02359999,0.00485201
2005-09-27,0.000742488,0.007198783,0.001587693,-0.002361256,-0.00090045,8.88E-05,0.00266908,0.00837342,-0.00195162,-0.00245506,0
2005-09-28,0.014988904,-0.011467351,0.009016285,0.002541604,0.008694745,8.90E-05,0.01565768,0.01350236,0.01898907,0.02262293,0.00193143
2005-09-29,0.001043615,0.001109299,0.006305499,-0.003634467,0.001166801,8.93E-05,0.00215698,0.01062185,0.00624899,0.00745049,0
2005-09-30,-0.009583136,0.010269032,0.012409383,0.000162832,-0.003739481,8.99E-05,-0.00829259,0.00634819,-0.00310452,0.00400153,0.00385542
2005-10-04,0.018190596,0.004740134,0.001958855,0.006620293,0.005528373,0.00035726,0.0178295,0.02930205,0.02318167,0.02376228,0.00096015
2005-10-05,-0.014612509,0.018419174,-0.003013499,-0.003541639,0.002354981,8.90E-05,-0.01237548,0.00545119,-0.00622716,-0.00837448,-0.0028777
2005-10-06,-0.021909029,0.018993676,-0.000669082,-0.011500387,-0.01021923,8.74E-05,-0.02029493,-0.010148,-0.0111065,-0.01353627,0.002886
2005-10-07,-0.001703951,0.009031396,0.003839033,-0.004471595,-0.001177314,8.74E-05,-0.00123078,0.0016657,0.00756484,0.00668511,-0.00479616
2005-10-10,0.022060944,0.011205866,-0.008972266,0.005610385,0.000790941,0.000267945,0.02178999,0.01546463,0.02377663,0.03084354,0.00033725
2005-10-11,0.014097494,0.005849106,-0.006182692,-0.000446967,-0.002178924,9.59E-05,0.01392624,0.01759833,0.0097634,0.0125725,0.00366151
2005-10-12,-0.023399652,0.021999782,0.000555415,-0.000760123,-0.000261792,9.59E-05,-0.02186824,-0.01259748,-0.01581635,-0.01341477,0.00081601
2005-10-13,-0.022356219,0.026575355,-0.002413161,0.00450039,-0.002266703,9.56E-05,-0.01940742,0.00153222,-0.0039712,0.00115241,0.00479616
2005-10-14,-0.00251629,0.004805942,0.00963661,0.0021638,-0.003120755,9.56E-05,-0.00273998,-0.00732824,-0.00371474,0.00384714,-0.00286396
2005-10-17,-0.010785817,0.00168021,0.001475032,-0.002116722,-0.007912991,0.000287671,-0.01160338,-0.03658727,-0.02047101,-0.01949647,0.00287219
2005-10-18,0.009251417,0.001041264,-0.007730736,0.008137068,0.002024868,9.56E-05,0.00838179,0.00691589,0.02150008,0.00125247,0.00381862
2005-10-19,-0.027351626,0.001149161,-0.002451217,0.00299046,-0.003215413,9.56E-05,-0.02789533,-0.03671789,-0.016873,-0.03206752,0.00285307
2005-10-20,0.008682192,-0.004814945,0.001991828,0.001570947,0.001029989,9.51E-05,0.00789156,0.00611725,-0.00207127,0.00657597,0.00123272
